
=== Tuning Regression_n_gt_10k ===
  {'max_depth': 5, 'learning_rate': 0.2} -> 0.9750 (best_iter=120)
  {'max_depth': 5, 'learning_rate': 0.3} -> 0.9814 (best_iter=70)
  {'max_depth': 7, 'learning_rate': 0.005} -> 0.9757 (best_iter=1944)
  {'max_depth': 7, 'learning_rate': 0.01} -> 0.9760 (best_iter=1201)
  {'max_depth': 7, 'learning_rate': 0.05} -> 0.9758 (best_iter=239)
  {'max_depth': 7, 'learning_rate': 0.1} -> 0.9757 (best_iter=120)
  {'max_depth': 7, 'learning_rate': 0.2} -> 0.9757 (best_iter=56)
  {'max_depth': 7, 'learning_rate': 0.3} -> 0.9762 (best_iter=43)
  {'max_depth': 9, 'learning_rate': 0.005} -> 0.9816 (best_iter=1827)
  {'max_depth': 9, 'learning_rate': 0.01} -> 0.9830 (best_iter=928)
  {'max_depth': 9, 'learning_rate': 0.05} -> 0.9801 (best_iter=180)
  {'max_depth': 9, 'learning_rate': 0.1} -> 0.9819 (best_iter=93)
  {'max_depth': 9, 'learning_rate': 0.2} -> 0.9773 (best_iter=45)
  {'max_depth': 9, 'learning_rate': 0.3} -> 0.9784 (best_iter=32)
  {'max_depth': 11, 'learning_rate': 0.005} -> 0.9763 (best_iter=1830)
  {'max_depth': 11, 'learning_rate': 0.01} -> 0.9783 (best_iter=927)
  {'max_depth': 11, 'learning_rate': 0.05} -> 0.9780 (best_iter=190)
  {'max_depth': 11, 'learning_rate': 0.1} -> 0.9825 (best_iter=93)
  {'max_depth': 11, 'learning_rate': 0.2} -> 0.9773 (best_iter=45)
  {'max_depth': 11, 'learning_rate': 0.3} -> 0.9842 (best_iter=29)
  -> winner: {'max_depth': 2, 'learning_rate': 0.005, 'n_estimators': 4000} (score=0.9866)

=== Tuning Classification_d_gt_50 ===
  {'max_depth': 1, 'learning_rate': 0.005} -> 0.9500 (best_iter=3999)
  {'max_depth': 1, 'learning_rate': 0.01} -> 0.9490 (best_iter=3998)
  {'max_depth': 1, 'learning_rate': 0.05} -> 0.9371 (best_iter=3663)
  {'max_depth': 1, 'learning_rate': 0.1} -> 0.9364 (best_iter=1975)
  {'max_depth': 1, 'learning_rate': 0.2} -> 0.9316 (best_iter=1250)
  {'max_depth': 1, 'learning_rate': 0.3} -> 0.9344 (best_iter=718)
  {'max_depth': 2, 'learning_rate': 0.005} -> 0.9474 (best_iter=3999)
  {'max_depth': 2, 'learning_rate': 0.01} -> 0.9317 (best_iter=3999)
  {'max_depth': 2, 'learning_rate': 0.05} -> 0.9223 (best_iter=1369)
  {'max_depth': 2, 'learning_rate': 0.1} -> 0.9246 (best_iter=718)
  {'max_depth': 2, 'learning_rate': 0.2} -> 0.9270 (best_iter=290)
  {'max_depth': 2, 'learning_rate': 0.3} -> 0.9374 (best_iter=221)
